id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-06-09 11:24:49,"{""short_code"":""OvfxQA"",""original_url"":""https://opswise.net/urban/lagoon/1""}"
2,2,46,created,2025-03-18 09:49:04,"{""short_code"":""x5QfF6"",""original_url"":""https://acme.dev/silver/river/2""}"
3,3,5,created,2025-04-11 23:16:12,"{""short_code"":""y07k08"",""original_url"":""https://hackstack.io/jade/garden/3""}"
4,4,149,created,2025-04-09 03:38:27,"{""short_code"":""wMGJWZ"",""original_url"":""https://relay.cloud/young/kernel/4""}"
5,5,324,created,2025-03-25 01:47:56,"{""short_code"":""Kp1wyA"",""original_url"":""https://seeded.app/ember/pioneer/5""}"
6,6,194,created,2025-11-26 11:22:03,"{""short_code"":""FmkzTR"",""original_url"":""https://acme.dev/dawn/signal/6""}"
7,7,58,created,2025-08-31 14:24:36,"{""short_code"":""a4Qahc"",""original_url"":""https://example.com/silver/trail/7""}"
8,8,279,created,2025-05-09 04:24:18,"{""short_code"":""pFvW0D"",""original_url"":""https://relay.cloud/clear/river/8""}"
9,9,387,created,2025-02-05 07:26:24,"{""short_code"":""egJNaJ"",""original_url"":""https://example.com/brisk/engine/9""}"
10,10,123,created,2026-01-02 05:33:12,"{""short_code"":""m92zDt"",""original_url"":""https://hackstack.io/silver/engine/10""}"
11,11,20,created,2025-01-16 11:59:01,"{""short_code"":""CIUuRa"",""original_url"":""https://hackstack.io/rapid/quartz/11""}"
12,12,309,created,2025-04-09 07:52:43,"{""short_code"":""pFpTi1"",""original_url"":""https://relay.cloud/navy/zenith/12""}"
13,13,115,created,2025-03-26 23:50:09,"{""short_code"":""1FEC7C"",""original_url"":""https://relay.cloud/silver/canyon/13""}"
14,14,264,created,2025-01-01 01:30:38,"{""short_code"":""knswC4"",""original_url"":""https://opswise.net/amber/orbit/14""}"
15,15,238,created,2025-09-16 10:15:56,"{""short_code"":""z1fzr8"",""original_url"":""https://relay.cloud/harbor/network/15""}"
16,16,182,created,2026-02-12 05:22:32,"{""short_code"":""U7gmFa"",""original_url"":""https://seeded.app/calm/delta/16""}"
17,17,83,created,2025-04-25 00:01:59,"{""short_code"":""v6AV1A"",""original_url"":""https://example.com/quiet/harvest/17""}"
18,18,185,created,2025-03-03 10:27:27,"{""short_code"":""DFuL9a"",""original_url"":""https://seeded.app/lively/harvest/18""}"
19,19,363,created,2025-08-10 04:28:33,"{""short_code"":""c6ABuB"",""original_url"":""https://hackstack.io/silver/anchor/19""}"
20,20,102,created,2025-05-14 14:38:48,"{""short_code"":""dAP8Tl"",""original_url"":""https://seeded.app/keen/journey/20""}"
21,21,197,created,2025-03-08 00:33:17,"{""short_code"":""RWLkox"",""original_url"":""https://opswise.net/cobalt/quartz/21""}"
22,22,392,created,2025-02-19 13:35:13,"{""short_code"":""XNLbB1"",""original_url"":""https://opswise.net/calm/anchor/22""}"
23,23,223,created,2025-04-30 21:34:13,"{""short_code"":""fOKOun"",""original_url"":""https://hackstack.io/mellow/meadow/23""}"
24,24,202,created,2025-05-02 14:08:38,"{""short_code"":""cwGdiP"",""original_url"":""https://example.com/tidy/kernel/24""}"
25,25,230,created,2025-10-17 12:06:55,"{""short_code"":""JglPDU"",""original_url"":""https://hackstack.io/ember/field/25""}"
26,26,325,created,2025-06-29 16:12:43,"{""short_code"":""G8rxwz"",""original_url"":""https://opswise.net/navy/zenith/26""}"
